Test_ID	Gene	Locus	GO_Term	ConstantCO2_LowpH	ConstantCO2_HighpH	pH7_LowCO2_2	pH7_MidCO2	pH7_HighCO2	pH8_LowCO2	pH8_MidCO2
XLOC_017763	EMIHUDRAFT_244971	EMIHUscaffold_440:17895-19138	None	12.4524	12.3585	12.1392	12.2598	10.7409	11.3363	11.6613
XLOC_017767	-	EMIHUscaffold_440:32682-33281	None	49.8628	21.1462	25.595	36.8693	28.1818	28.5742	32.6781
XLOC_013471	EMIHUDRAFT_458594	EMIHUscaffold_355:8816-10068	None	11.8892	6.94157	19.0577	24.4048	15.6542	28.928	15.8734
XLOC_036013	EMIHUDRAFT_467198	KB864169:200249-203772	protein phosphorylation	1.38572	1.74788	1.63622	1.8146	1.79263	2.15218	1.38626
XLOC_002040	EMIHUDRAFT_108504	EMIHUscaffold_104:372201-373547	protein binding	11.7592	10.6182	11.3568	14.5974	9.7798	16.8286	11.2434
XLOC_036016	AP2A-2	KB864169:219218-221403	None	17.9631	17.0725	13.8458	14.0746	15.7657	14.4751	17.3428
XLOC_042319	EMIHUDRAFT_434409	KB864654:826298-829286	None	30.4034	21.8052	33.9663	56.0555	42.682	58.6623	41.9136
XLOC_022699	NAD-ME_2	EMIHUscaffold_58:540516-543219	None	76.436	102.396	72.1763	82.9277	75.132	65.8071	75.8951
XLOC_022698	EMIHUDRAFT_464871	EMIHUscaffold_58:533341-537987	metal ion transport	52.5789	44.1844	39.5679	43.9154	44.2766	44.774	48.8841
XLOC_041364	EMIHUDRAFT_456156	KB864558:168316-170394	None	104.127	97.0202	92.6683	109.326	123.427	118.731	131.876
XLOC_041366	EMIHUDRAFT_231188	KB864558:209322-211839	protein binding	10.1374	15.7233	10.9688	10.9846	8.62618	12.7721	8.65495
XLOC_015618	EMIHUDRAFT_461341	EMIHUscaffold_4:941508-943446	None	17.9139	18.4871	25.7595	25.6914	16.7871	29.2164	22.0452
XLOC_015612	EMIHUDRAFT_447945	EMIHUscaffold_4:906216-912105	acid phosphatase activity	5.84708	4.75222	6.73003	5.60235	3.82919	6.57945	3.81439
XLOC_027826	EMIHUDRAFT_438409	EMIHUscaffold_75:386133-389307	nucleotidyltransferase activity	31.6252	21.5847	26.7756	22.9455	25.4609	25.453	27.7653
XLOC_017106	EMIHUDRAFT_445286	EMIHUscaffold_421:22397-23531	catalytic activity	28.6973	26.0514	44.5985	40.0943	34.2333	61.9759	45.6724
XLOC_017104	EMIHUDRAFT_316391	EMIHUscaffold_421:3381-6858	GTP binding	19.8544	19.5558	17.0508	25.2931	24.3624	18.333	20.3797
XLOC_022523	EMIHUDRAFT_247362,EMIHUDRAFT_459656	EMIHUscaffold_571:10124-12924	None	4.38814	3.41814	3.33579	5.00298	4.18943	4.83671	4.52995
XLOC_042540	EMIHUDRAFT_232260,EMIHUDRAFT_456408	KB864655:44507-47918	None	54.4737	44.0785	44.2183	61.6749	55.6954	45.1632	55.1756
XLOC_003319	EMIHUDRAFT_448933	EMIHUscaffold_11:1240797-1245671	binding	48.0943	37.6536	34.2632	35.1563	37.7833	32.6366	38.9414
XLOC_043042	EMIHUDRAFT_442508	KB864700:99189-101035	lipid metabolic process	21.7495	18.5384	38.2147	54.4016	40.6213	61.6201	41.0846
XLOC_043047	EMIHUDRAFT_442514	KB864700:125723-127652	sialyltransferase activity	14.2675	14.8849	15.4529	15.5769	16.792	17.8079	17.6506
XLOC_032624	EMIHUDRAFT_439223	EMIHUscaffold_96:7297-9818	glycerol ether metabolic process	4.09169	3.92584	4.93628	4.52638	4.23528	7.1252	4.61601
XLOC_032621	-	EMIHUscaffold_96:465802-472879	None	39.1668	58.1831	36.465	40.3471	28.4186	36.7141	31.7861
XLOC_039370	EMIHUDRAFT_441547	KB864413:250119-253608	acyl-CoA dehydrogenase activity	24.2666	18.1063	19.9293	21.9182	25.7833	16.4363	21.4278
XLOC_032628	EMIHUDRAFT_417203	EMIHUscaffold_96:30698-32645	pentose-phosphate shunt	33.6932	30.3937	37.8597	32.4285	35.1982	34.3274	31.3891
